model,prompt_head,pre_mean_dx,lure_mean_dx,post_mean_dx,lure_spike,recovery_steps
Nomadic_Full,Let us compute the integral of e^x ,0.2390513367512647,0.22882917675782333,0.2912317353945512,-0.010222159993441365,2
Nomadic_Full,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.23165326291009,0.3375392667082853,0.2664840638637543,0.10588600379819532,7
Nomadic_Full,The eigenvalues of a symmetric matr,0.24970943122529066,0.2667047222112787,0.322247802064969,0.016995290985988065,1
Nomadic_NoDx,Let us compute the integral of e^x ,0.2390513367512647,0.22882917675782333,0.2912317353945512,-0.010222159993441365,2
Nomadic_NoDx,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.23165326291009,0.3375392667082853,0.2664840638637543,0.10588600379819532,7
Nomadic_NoDx,The eigenvalues of a symmetric matr,0.24970943122529066,0.2667047222112787,0.322247802064969,0.016995290985988065,1
Nomadic_NoEnv,Let us compute the integral of e^x ,0.2390513367512647,0.22882917675782333,0.2912317353945512,-0.010222159993441365,2
Nomadic_NoEnv,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.23165326291009,0.3375392667082853,0.2664840638637543,0.10588600379819532,7
Nomadic_NoEnv,The eigenvalues of a symmetric matr,0.24970943122529066,0.2667047222112787,0.322247802064969,0.016995290985988065,1
Nomadic_NoErr,Let us compute the integral of e^x ,0.2390513367512647,0.22882917675782333,0.2912317353945512,-0.010222159993441365,2
Nomadic_NoErr,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.23165326291009,0.3375392667082853,0.2664840638637543,0.10588600379819532,7
Nomadic_NoErr,The eigenvalues of a symmetric matr,0.24970943122529066,0.2667047222112787,0.322247802064969,0.016995290985988065,1
