model,domain,phase,prompt,mean_entropy,std_entropy,perplexity,repeat_rate,switch_rate,mean_dx,mean_switch_prob
Nomadic_Full,math,stable,24를 6으로 나누면,0.20026988847501315,0.10252169497343105,1.2262354510213418,0.14184397163120568,0.0,0.47721063767870264,5.1434060261668055e-14
Nomadic_Full,math,stable,The square root of 144 is,0.1566518362680957,0.053723316110427445,1.2119024213926457,0.39855072463768115,0.0,0.458381583293279,2.080704732361689e-11
Nomadic_Full,math,stable,"If x + 5 = 12, then x =",0.29177191552735166,0.026845937932198086,1.393577667238367,0.2679738562091503,0.0,0.42249536675711474,8.46745626458162e-13
Nomadic_Full,math,stable,원의 넓이 공식은 πr²이다. 반지름이 3이면 넓이는,0.5011534661098267,0.2266490056291452,1.739741759079246,0.13114754098360656,0.0,0.4469753419359525,1.0476170768431983e-10
Nomadic_Full,math,stable,"등차수열 2, 5, 8, 11의 다음 항은",0.026235211236378935,3.469446951953614e-18,1.0263877166088862,0.0,0.0,0.47243461132056835,3.9953054382945687e-13
Nomadic_Full,math,stable,The limit of (sin x)/x as x→0 is,0.23606212174220975,0.07601827105635152,1.152342710851647,0.3205128205128205,0.0,0.4284321442246437,3.0615659910271236e-11
Nomadic_Full,math,stable,2^10 =,0.3127845085424648,0.24191780422293954,1.626896942846699,0.11627906976744184,0.0,0.4899972102294366,1.2951339982872107e-07
Nomadic_Full,math,stable,"행렬 [[1,0],[0,1]]의 행렬식(determinant)은",0.15973297186040628,0.029439887545769455,1.1074635192909905,0.3448275862068965,0.0,0.5101886155704657,9.681093684824087e-10
Nomadic_Full,math,stable,The sum of angles in a hexagon is,0.47781924187517383,0.09418093696256774,1.5739745508312588,0.08333333333333333,0.0,0.4509319139023622,7.73149466656505e-09
Nomadic_Full,math,stable,e^0 =,0.13659163638075142,0.10219999177252721,1.1071983511546213,0.23255813953488372,0.0,0.4643460051467021,5.414666998597482e-12
Nomadic_Full,code,stable,"# 피보나치 수열
def fib(n):
    if n <= 1: return n
    ",0.1814247530820338,0.0118177167380137,1.191442550161408,0.08465608465608469,0.016666666666666666,0.49881743143002194,1.3485817922112287e-09
Nomadic_Full,code,stable,"const greeting = (name) => `Hello,",0.4658075776319796,0.1019742849887185,1.6581926570013046,0.1836734693877551,0.008333333333333333,0.567425638535739,0.00016599036477081935
Nomadic_Full,code,stable,"try:
    result = 10 / 0
except ZeroDivisionError:",0.40110388836304384,0.001158778370653585,1.4915001784869497,0.2484848484848485,0.008333333333333333,0.48201201741273203,2.8124915188686815e-06
Nomadic_Full,code,stable,<html><body><h1>Hello</h1></body></,0.47355866537097374,0.12208495348917695,1.6614394789065499,0.125,0.03253968253968254,0.5669915883314042,0.0001543040194541759
Nomadic_Full,code,stable,"df = pd.DataFrame({'a': [1,2,3]})
df['b'] = df['a'",0.2596529376440481,0.0029746087985117633,1.299566013133542,0.11640211640211644,0.025000000000000005,0.5393571247657141,2.695221367053283e-08
Nomadic_Full,code,stable,"from collections import Counter
Counter('aabbcc') ",0.08355989641522683,0.008837694463632506,1.112084752186198,0.27450980392156865,0.025000000000000005,0.5240115982557957,6.719844157829031e-07
Nomadic_Full,code,stable,"with open('file.txt', 'r') as f:
    content =",0.5745505320373923,0.046849408356056305,1.6987282796986587,0.09305846727230375,0.025000000000000005,0.5585353570679824,1.5948436063306392e-05
Nomadic_Full,code,stable,"import re
re.findall(r'\d+', 'abc123def456') ==",0.16336524033446884,0.06225405870708608,1.2427273269695285,0.18787878787878787,0.025000000000000005,0.5096372859174153,3.128197896025239e-07
Nomadic_Full,code,stable,threading.Thread(target=worker).start()  #,0.38503164676294793,0.04675760676408387,1.5219790095777588,0.18000000000000002,0.016666666666666666,0.4902995980034272,3.647617261814617e-05
Nomadic_Full,code,stable,"np.linspace(0, 1, 5) ==",0.25177026742238257,0.028515055310126585,1.3623453500634009,0.2549019607843137,0.0,0.4733061734586954,1.570412458834476e-08
Nomadic_Full,language,transition,"바람이 부는 날, 그는 오래된 편지를",0.15885246259761818,0.02332869950864249,1.2256378880230274,0.35897435897435903,0.0,0.5332798687430719,0.9999918311834334
Nomadic_Full,language,transition,The paradox of freedom is that,0.5036673443812067,0.12389218039171364,1.6045097058378557,0.037037037037037056,0.025000000000000005,0.48041513788824286,0.5758971908665491
Nomadic_Full,language,transition,만약 내가 다시 태어난다면,0.7051375274570697,0.17443488524019704,1.9048999577374734,0.22695035460992907,0.008333333333333333,0.5125906862008075,0.16052547748712728
Nomadic_Full,language,transition,"In the silence between words, there is",0.4284351610290173,0.0787566709400273,1.5908458179983829,0.09929078014184396,0.025000000000000005,0.4699637768169244,0.9514690926764159
Nomadic_Full,language,transition,존재한다는 것의 의미를 묻는다면,0.8466630935668945,0.09544228997114552,2.387168621387589,0.17647058823529413,0.008333333333333333,0.43795129166295127,0.20088354200679673
Nomadic_Full,language,transition,"고요한 새벽, 그녀는 창밖을 바라보며",0.3720924116120538,0.09012518649982662,1.4828265635860476,0.20125786163522008,0.0,0.5525461713162562,0.9999940767884254
Nomadic_Full,language,transition,The road not taken reminds us that,0.28635979707917536,0.09772332996113195,1.3292227380614068,0.014492753623188396,0.0,0.4920981912563245,0.998794911801815
